Symbol,Name,Sector
DDD,3D Systems Corporation,Information Technology
EGHT,"8x8, Inc.",Information Technology
AAON,AAON Inc,Industrials
AIR,AAR Corp,Industrials
ANF,Abercrombie & Fitch Company,Consumer Discretionary
ABM,ABM Industries Incorporated,Industrials
AKR,Acadia Realty Trust,Real Estate
ACET,Aceto Cp,Health Care
ACOR,Acorda Therapeutics,Health Care
ATU,Actuant Corporation,Industrials
ADTN,Adtran Inc,Information Technology
AEIS,Advanced Energy,Information Technology
ASIX,Advansix Inc,Materials
AEGN,Aegion Corp,Industrials
AJRD,Aerojet Rocketdyne Holdings,Industrials
AVAV,AeroVironment Inc,Industrials
AGYS,Agilysys Inc,Information Technology
ADC,Agree Realty Corp,Real Estate
AKS,AK Steel Holding Corp,Materials
AKRX,Akorn,Health Care
ALG,Alamo Group,Industrials
ALRM,AlarmCom Hldg Inc,Financials
AIN,Albany International Corp,Industrials
ALGT,Allegiant Travel Company,Industrials
AMAG,Amag Pharmaceuticals,Health Care
AMBC,Ambac Financial Group,Financials
AMCX,AMC Networks,Consumer Discretionary
AMED,Amedisys Inc,Health Care
AMWD,Amer Woodmark Corporation,Industrials
AAT,American Assets Trust,Real Estate
AXL,"American Axle & Manufacturing Holdings, Inc.",Consumer Discretionary
AEL,American Equity Investment Life,Financials
APEI,American Pub. Edu.,Consumer Discretionary
AWR,American States Water Company,Utilities
AVD,American Vanguard Corporation,Materials
ABCB,Ameris Bancorp,Financials
AMSF,Amerisafe Inc,Financials
AMN,Amn Healthcare Services Inc,Health Care
AMPH,Amphastar Pharma,Health Care
ANDE,Andersons Inc,Consumer Staples
ANGO,Angiodynamics Inc,Health Care
ANIP,ANI Pharma Inc,Health Care
ANIK,Anika Therapeutics,Health Care
AXE,Anixter International Inc.,Information Technology
APOG,Apogee Entrpr Inc,Industrials
ARI,Apollo Commercial Real Estate,Real Estate
AIT,Applied Industrial Technologies,Industrials
AAOI,Applied Optoelect,Information Technology
ARCB,Arcbest Corp,Industrials
AROC,Archrock Inc,Energy
AHH,Armada Hoffler Properties Inc,Real Estate
ARR,Armour Residential R,Real Estate
ARRS,Arris International,Information Technology
ABG,Asbury Automotive Group Inc,Customer Discretionary
ASNA,Ascena Retail Grp,Consumer Discretionary
AHL,Aspen Insurance Holdings Ltd,Financials
ASRT,"Assertio Therapeutics, Inc",Health Care
ASTE,Astec Inds Inc,Industrials
AAWW,Atlas Air Worldwide Holdings,Industrials
ATNI,ATN International Inc,Telecommunication Services
